,increase_5%,increase_2%
0,5.69101948349271e-09,1.4362893838551826e-08
1,1.897198762744665e-07,4.787899970542639e-07
2,5.098397558322176e-08,1.2869957461953165e-07
3,1.8648145894985645e-08,4.707070902804844e-08
4,7.700676360400393e-10,1.5710802690591663e-09
5,2.2433826146880163e-08,5.663296012789942e-08
6,1.1258326761890203e-08,2.8659487958066167e-08
7,2.5520601320749845e-10,6.444965447371942e-10
8,1.6874472703784706e-07,4.261531694792211e-07
9,8.438329932687338e-10,2.1297395342116946e-09
10,4.829277075259597e-09,1.2187639855255838e-08
11,2.6160659677771035e-07,6.595834281833959e-07
12,4.4461552306529484e-13,1.1228520975237187e-12
13,3.614338592160493e-08,9.122801845660433e-08
14,-4.229214717634022e-08,-1.058255934913177e-07
15,1.0551050107460469e-07,2.666816339478828e-07
16,0.0,0.0
17,3.746432919288054e-07,9.378403886221349e-07
18,1.3815163110848516e-09,3.4872445103246718e-09
19,0.00013327105113957076,0.00033512052345648405
20,3.104045701911673e-07,7.773761809803546e-07
21,5.949311726726592e-06,1.4919162169098854e-05
22,0.0,0.0
23,4.487596412250383e-13,1.1332349776349558e-12
24,0.00014175745370076037,0.00035453606713272166
25,3.800490758294472e-09,9.613752394216135e-09
26,1.3441785908071324e-08,3.3786600499297495e-08
27,4.343419296055799e-07,1.0968636657344176e-06
28,3.012435365235433e-09,7.4464422650635236e-09
29,-2.2143001697259024e-09,4.578842417686247e-09
30,4.154969268711284e-09,1.0443722945638001e-08
31,2.047483532805927e-09,5.129605502588674e-09
32,2.0510694448603316e-08,5.136155461514136e-08
33,1.1629739849013276e-08,2.946043378324248e-08
34,2.9352740675676614e-09,7.4125444953097034e-09
35,2.7978558091490413e-10,7.061473074827518e-10
36,3.741941891348688e-09,9.44377694031573e-09
37,9.870473630144262e-09,2.4929725821493776e-08
38,1.107214055082295e-09,2.7967877140326893e-09
39,1.7638985555095132e-09,4.4521831005113204e-09
40,3.8007602342986504e-09,9.592291051376379e-09
41,3.644905227702111e-08,9.212414489593357e-08
42,1.747534447349608e-08,4.411291153519414e-08
43,5.1822438486851754e-08,1.308170070988126e-07
44,2.8797539869174215e-11,7.266296910302117e-11
45,3.893702205459704e-11,9.871761449176119e-11
46,3.6687338433694095e-09,9.326762752607466e-09
47,3.854753973428159e-09,9.693936619441956e-09
48,4.740748991025612e-09,1.1996089349850082e-08
49,4.1680395152070555e-08,1.0440259230381343e-07
50,0.0,0.0
51,1.0001521732192487e-09,2.5381676205142866e-09
52,4.30461679934524e-09,1.0849940721527672e-08
53,1.2279008352197708e-07,3.0970880016684535e-07
54,6.221412208105903e-09,1.561593139922479e-08
55,1.8424217026331462e-06,4.6833414513967005e-06
56,5.190979191567749e-06,1.2981103285215795e-05
57,0.0,0.0
58,2.990436756052077e-06,7.535411379765719e-06
59,1.8873043458370377e-08,4.726395801480976e-08
60,8.071883546654135e-08,2.0361197704914957e-07
61,1.4806420185777823e-09,3.735496356966906e-09
62,7.419834202155472e-07,1.8726624120026827e-06
63,7.632068183738739e-08,1.9350803102133795e-07
64,1.422548657283187e-07,3.582484908401966e-07
65,7.555448581115342e-09,1.9033955482882444e-08
66,1.407286844914779e-08,3.5307174875924826e-08
67,1.2974480414413847e-08,3.248157749476377e-08
68,9.94429637212306e-07,2.489280352368951e-06
69,0.0,0.0
70,7.734681683359668e-08,1.939303613617085e-07
71,9.191455019637942e-05,0.00023378572883084417
72,1.2450058566173537e-07,3.1300675676902757e-07
73,1.0229204909410329e-07,2.5266977155115456e-07
74,-1.5558295890921724e-12,-4.2341714889815306e-13
75,2.3483894050586967e-06,5.928620336344465e-06
76,2.125672313559335e-08,5.338570357707795e-08
77,-1.5965021448209881e-09,2.0722004876006394e-08
78,1.2681947964665597e-09,3.179219762841967e-09
79,4.547784852911718e-08,1.1469228233909234e-07
80,0.0,0.0
81,1.0091492459177973e-06,2.5365470778197053e-06
82,-4.19230983261798e-16,4.663918731773187e-14
83,5.605335663858568e-09,1.4096272494498409e-08
84,4.96728253638139e-08,1.2466723591205664e-07
85,5.461376276798547e-08,1.3715512154158204e-07
86,9.102654235903175e-09,2.3115153249818833e-08
87,1.2531733351352159e-08,3.150956261742976e-08
88,8.500431649736129e-10,2.170942214434035e-09
89,1.5344763989560306e-08,3.9828765497077255e-08
90,3.204926033504307e-10,9.026382031152025e-10
91,1.7483888223068788e-09,4.39298799392418e-09
92,7.090261904522776e-09,1.790029276162386e-08
93,8.443128450380755e-09,2.123789181223401e-08
94,0.0,0.0
95,0.0002941517646610737,0.0007385274378061295
96,4.1414138115942484e-05,0.00010397861381620168
97,0.0,0.0
98,5.790093026007525e-09,1.4537191880663157e-08
99,1.0198455448744425e-09,2.5605256448670845e-09
100,3.986386025790125e-06,1.0008475560694932e-05
101,8.069317075296566e-10,2.025962322932173e-09
102,3.9807173696004843e-11,9.994372464561253e-11
103,1.3756340787596243e-12,3.453798163577382e-12
104,0.0,0.0
105,1.2099023842700174e-14,3.037696296934178e-14
106,0.0,0.0
107,4.662888615712291e-09,1.1691856476318207e-08
108,8.87068469382939e-08,2.224889531498775e-07
109,5.5634860359532475e-09,1.3926050443842542e-08
110,1.1064387504011392e-06,2.782164525706321e-06
111,2.6426436013429758e-15,6.622310358070371e-15
112,7.3571600660216066e-09,1.8741102860076353e-08
113,1.4350595809519292e-06,3.591763174161315e-06
114,6.872323092466104e-11,1.7235429089623723e-10
115,4.0089471428655086e-07,1.0056184105342254e-06
116,4.598607668958721e-08,1.1533646734096691e-07
117,2.729319324716926e-06,6.864848187193275e-06
118,3.2038665539585055e-06,8.041551257018e-06
119,4.793982212431729e-07,1.209834849461913e-06
120,1.5992341465316712e-06,4.023378293029964e-06
121,2.914364277385175e-06,7.328628501854836e-06
122,2.304133288853336e-07,5.774460282991641e-07
123,9.97780236415565e-07,2.523287327028811e-06
124,1.2983423871919513e-06,3.2609877251088616e-06
125,5.987165618687868e-06,1.5021915026009082e-05
126,1.2686034766957164e-06,3.1841225819662213e-06
127,8.629718604497612e-07,2.167642117012292e-06
128,8.563605262315832e-08,2.1463796478929e-07
129,1.1803364715888165e-08,2.9603977294755168e-08
130,5.5300475491094405e-08,1.3847986752807629e-07
131,1.5196487575303764e-07,3.806569983717054e-07
132,6.973110600374639e-07,1.7482470534741878e-06
133,5.241533037042245e-08,1.3162930816179142e-07
134,3.0681102510425265e-07,7.683171615062748e-07
135,2.3355993716977536e-06,5.855883371084929e-06
136,2.0770442206412554e-08,5.207990016788244e-08
137,8.88081209268421e-10,2.231220074463636e-09
138,1.90013088285923e-11,5.0537404604256156e-11
139,0.0,0.0
140,0.0,0.0
141,0.0,0.0
142,0.0,0.0
143,0.0,0.0
144,0.0,0.0
145,0.0,0.0
146,1.1309658731306625e-11,2.854393346751749e-11
147,3.0811472129244063e-12,7.717817991803599e-12
148,2.0164562752889026e-13,5.088090109239829e-13
149,1.025931620768361e-13,2.589113502482476e-13
150,1.8955722116964503e-14,4.76152281353448e-14
151,1.1453524484750231e-10,2.890384780585009e-10
152,2.3723464051727206e-08,5.986101695452817e-08
153,5.725843244874796e-12,1.4449628402246617e-11
154,2.1910835279470575e-12,5.522721284734188e-12
155,1.510657845647074e-07,3.783094200844061e-07
156,1.1523458923911676e-06,2.896941817016341e-06
157,1.2124819986638613e-09,3.0468401455436834e-09
158,3.440680128363738e-12,8.61866323376148e-12
159,2.983725443482399e-08,7.478463178267703e-08
160,1.432584139984101e-07,3.5967089934274555e-07
161,5.053034459706396e-09,1.2683498847763985e-08
162,2.2793938114773483e-13,5.692618287866936e-14
163,0.0,0.0
164,0.0,0.0
165,1.3196657499065624e-08,3.333844366716221e-08
166,1.855569178587757e-08,4.68895336962305e-08
167,4.277253290638328e-09,1.0805231067934073e-08
168,3.9860505421529524e-09,1.0075607890030369e-08
169,1.5798216663824859e-09,3.993077549239388e-09
170,2.196608784288401e-11,5.6618652365614255e-11
171,9.334812352790323e-11,2.3598499910804095e-10
172,5.36493545587291e-09,1.3551516607549275e-08
173,5.706314095732523e-10,1.441690266801743e-09
174,8.964375126652157e-11,2.264520867356623e-10
175,6.499898790934821e-11,1.6420050633314532e-10
176,1.9393019079494424e-14,4.8996128154676914e-14
177,2.882333501474932e-09,7.281203863385599e-09
178,0.0,0.0
179,1.4712688483996316e-08,3.7165326153626664e-08
180,0.0,0.0
181,3.0297390534542504e-08,7.661331369308754e-08
182,5.862054820227058e-12,1.4820683091443243e-11
183,0.0,0.0
