region,sector,intervention_A_0_Y_0,intervention_A_1_Y_1,intervention_A_2_Y_2
AT,Cultivation of paddy rice,0.0,0.0,0.0
AT,Cultivation of wheat,0.0,0.0,0.0
AT,Cultivation of cereal grains nec,0.0,0.0,0.0
AT,"Cultivation of vegetables, fruit, nuts",0.0,0.0,0.0
AT,Cultivation of oil seeds,0.0,0.0,0.0
AT,"Cultivation of sugar cane, sugar beet",0.0,0.0,0.0
AT,Cultivation of plant-based fibers,0.0,0.0,0.0
AT,Cultivation of crops nec,0.0,0.0,0.0
AT,Cattle farming,0.0,0.0,0.0
AT,Pigs farming,0.0,0.0,0.0
AT,Poultry farming,0.0,0.0,0.0
AT,Meat animals nec,0.0,0.0,0.0
AT,Animal products nec,0.0,0.0,0.0
AT,Raw milk,0.0,0.0,0.0
AT,"Wool, silk-worm cocoons",0.0,0.0,0.0
AT,"Manure treatment (conventional), storage and land application",0.0,0.0,0.0
AT,"Manure treatment (biogas), storage and land application",0.0,0.0,0.0
AT,"Forestry, logging and related service activities (02)",0.0,0.0,0.0
AT,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",0.0,0.0,0.0
AT,Mining of coal and lignite; extraction of peat (10),0.0,0.0,0.0
AT,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",0.0,0.0,0.0
AT,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",0.0,0.0,0.0
AT,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",0.0,0.0,0.0
AT,Mining of uranium and thorium ores (12),0.0,0.0,0.0
AT,Mining of iron ores,0.03196265122596742,-0.04951945252923906,0.000583196043407952
AT,Mining of copper ores and concentrates,0.0,0.0,0.0
AT,Mining of nickel ores and concentrates,0.0,0.0,0.0
AT,Mining of aluminium ores and concentrates,0.0,0.0,0.0
AT,Mining of precious metal ores and concentrates,0.0,0.0,0.0
AT,"Mining of lead, zinc and tin ores and concentrates",0.0,0.0,0.0
AT,Mining of other non-ferrous metal ores and concentrates,0.0,0.0,0.0
AT,Quarrying of stone,0.0,0.0,0.0
AT,Quarrying of sand and clay,0.0,0.0,0.0
AT,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",0.0,0.0,0.0
AT,Processing of meat cattle,0.0,0.0,0.0
AT,Processing of meat pigs,0.0,0.0,0.0
AT,Processing of meat poultry,0.0,0.0,0.0
AT,Production of meat products nec,0.0,0.0,0.0
AT,Processing vegetable oils and fats,0.0,0.0,0.0
AT,Processing of dairy products,0.0,0.0,0.0
AT,Processed rice,0.0,0.0,0.0
AT,Sugar refining,0.0,0.0,0.0
AT,Processing of Food products nec,0.0,0.0,0.0
AT,Manufacture of beverages,0.0,0.0,0.0
AT,Manufacture of fish products,0.0,0.0,0.0
AT,Manufacture of tobacco products (16),0.0,0.0,0.0
AT,Manufacture of textiles (17),0.0,0.0,0.0
AT,Manufacture of wearing apparel; dressing and dyeing of fur (18),0.0,0.0,0.0
AT,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",0.0,0.0,0.0
AT,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",0.0,0.0,0.0
AT,Re-processing of secondary wood material into new wood material,0.0,0.0,0.0
AT,Pulp,0.0,0.0,0.0
AT,Re-processing of secondary paper into new pulp,0.0,0.0,0.0
AT,Paper,0.0,0.0,0.0
AT,"Publishing, printing and reproduction of recorded media (22)",0.0,0.0,0.0
AT,Manufacture of coke oven products,0.0,0.0,0.0
AT,Petroleum Refinery,0.0,0.0,0.0
AT,Processing of nuclear fuel,0.0,0.0,0.0
AT,"Plastics, basic",-1.2207611894965442e-07,-5.789962421384742e-07,-5.895650818342479e-07
AT,Re-processing of secondary plastic into new plastic,0.0,0.0,0.0
AT,N-fertiliser,0.0,0.0,0.0
AT,P- and other fertiliser,0.0,0.0,0.0
AT,Chemicals nec,1.3026329958101823e-07,-1.1541823195446166e-07,5.059707758846288e-08
AT,Manufacture of rubber and plastic products (25),0.0,0.0,0.0
AT,Manufacture of glass and glass products,0.0,0.0,0.0
AT,Re-processing of secondary glass into new glass,0.0,0.0,0.0
AT,Manufacture of ceramic goods,0.0,0.0,0.0
AT,"Manufacture of bricks, tiles and construction products, in baked clay",0.0,0.0,0.0
AT,"Manufacture of cement, lime and plaster",0.0,0.0,0.0
AT,Re-processing of ash into clinker,0.0,0.0,0.0
AT,Manufacture of other non-metallic mineral products n.e.c.,0.0,0.0,0.0
AT,Manufacture of basic iron and steel and of ferro-alloys and first products thereof,-8.606189310783607e-07,-3.1592996588281075e-06,-2.7342132964125465e-06
AT,Re-processing of secondary steel into new steel,-0.00013447613344297338,-0.0005019255600231531,-0.0004341007149584186
AT,Precious metals production,-1.80222608763686e-08,-1.3378352161546106e-07,-1.139125841991169e-07
AT,Re-processing of secondary preciuos metals into new preciuos metals,0.0,0.0,0.0
AT,Aluminium production,9.611542196200779e-06,-2.958986509269193e-06,8.104449828537363e-06
AT,Re-processing of secondary aluminium into new aluminium,7.595654481463987e-05,-2.3446355389783458e-05,6.400351803440008e-05
AT,"Lead, zinc and tin production",0.0,0.0,0.0
AT,"Re-processing of secondary lead into new lead, zinc and tin",0.0,0.0,0.0
AT,Copper production,-8.679949095764805e-08,-3.6855688183932284e-06,-3.57515056789888e-06
AT,Re-processing of secondary copper into new copper,-2.262536299910134e-07,-8.963127835659446e-06,-8.708066138882198e-06
AT,Other non-ferrous metal production,2.755794183048957e-05,-8.945994631311127e-06,2.271223918585627e-05
AT,Re-processing of secondary other non-ferrous metals into new other non-ferrous metals,0.0,0.0,0.0
AT,Casting of metals,1.1304724110983155e-07,-1.657789098358231e-06,-1.0979577363054438e-06
AT,"Manufacture of fabricated metal products, except machinery and equipment (28)",0.0,0.0,0.0
AT,Manufacture of machinery and equipment n.e.c. (29),0.0,0.0,0.0
AT,Manufacture of office machinery and computers (30),0.0,0.0,0.0
AT,Manufacture of electrical machinery and apparatus n.e.c. (31),0.0,0.0,0.0
AT,"Manufacture of radio, television and communication equipment and apparatus (32)",0.0,0.0,0.0
AT,"Manufacture of medical, precision and optical instruments, watches and clocks (33)",0.0,0.0,0.0
AT,"Manufacture of motor vehicles, trailers and semi-trailers (34)",0.0,0.0,0.0
AT,Manufacture of other transport equipment (35),0.0,0.0,0.0
AT,Manufacture of furniture; manufacturing n.e.c. (36),0.0,0.0,0.0
AT,Recycling of waste and scrap,0.0,0.0,0.0
AT,Recycling of bottles by direct reuse,0.0,0.0,0.0
AT,Production of electricity by coal,0.0,0.0,0.0
AT,Production of electricity by gas,0.0,0.0,0.0
AT,Production of electricity by nuclear,0.0,0.0,0.0
AT,Production of electricity by hydro,0.0,0.0,0.0
AT,Production of electricity by wind,0.0,0.0,0.0
AT,Production of electricity by petroleum and other oil derivatives,0.0,0.0,0.0
AT,Production of electricity by biomass and waste,0.0,0.0,0.0
AT,Production of electricity by solar photovoltaic,0.0,0.0,0.0
AT,Production of electricity by solar thermal,0.0,0.0,0.0
AT,"Production of electricity by tide, wave, ocean",0.0,0.0,0.0
AT,Production of electricity by Geothermal,0.0,0.0,0.0
AT,Production of electricity nec,0.0,0.0,0.0
AT,Transmission of electricity,0.0,0.0,0.0
AT,Distribution and trade of electricity,0.0,0.0,0.0
AT,Manufacture of gas; distribution of gaseous fuels through mains,0.0,0.0,0.0
AT,Steam and hot water supply,0.0,0.0,0.0
AT,"Collection, purification and distribution of water (41)",0.0,0.0,0.0
AT,Construction (45),0.0,0.0,0.0
AT,Re-processing of secondary construction material into aggregates,0.0,0.0,0.0
AT,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",0.0,0.0,0.0
AT,Retail sale of automotive fuel,0.0,0.0,0.0
AT,"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",0.0,0.0,0.0
AT,"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",6.74667852287314e-05,-7.331738262816856e-05,1.992848834664329e-05
AT,Hotels and restaurants (55),0.0,0.0,0.0
AT,Transport via railways,4.741226556070899e-05,-4.632697103001959e-05,1.6525445814430384e-05
AT,Other land transport,0.00026423636477446166,-0.00039532355512683637,-3.9951394517956373e-05
AT,Transport via pipelines,7.556693150445604e-05,-4.5029833208642955e-05,4.6373468602922685e-05
AT,Sea and coastal water transport,0.0,0.0,0.0
AT,Inland water transport,0.0,0.0,0.0
AT,Air transport (62),0.0,0.0,0.0
AT,Supporting and auxiliary transport activities; activities of travel agencies (63),0.0,0.0,0.0
AT,Post and telecommunications (64),0.0,0.0,0.0
AT,"Financial intermediation, except insurance and pension funding (65)",0.0,0.0,0.0
AT,"Insurance and pension funding, except compulsory social security (66)",0.0,0.0,0.0
AT,Activities auxiliary to financial intermediation (67),0.0,0.0,0.0
AT,Real estate activities (70),0.0,0.0,0.0
AT,Renting of machinery and equipment without operator and of personal and household goods (71),0.0,0.0,0.0
AT,Computer and related activities (72),0.0,0.0,0.0
AT,Research and development (73),0.0,0.0,0.0
AT,Other business activities (74),0.0,0.0,0.0
AT,Public administration and defence; compulsory social security (75),0.0,0.0,0.0
AT,Education (80),0.0,0.0,0.0
AT,Health and social work (85),0.0,0.0,0.0
AT,Incineration of waste: Food,0.0,0.0,0.0
AT,Incineration of waste: Paper,0.0,0.0,0.0
AT,Incineration of waste: Plastic,0.0,0.0,0.0
AT,Incineration of waste: Metals and Inert materials,0.0,0.0,0.0
AT,Incineration of waste: Textiles,0.0,0.0,0.0
AT,Incineration of waste: Wood,0.0,0.0,0.0
AT,Incineration of waste: Oil/Hazardous waste,0.0,0.0,0.0
AT,"Biogasification of food waste, incl. land application",0.0,0.0,0.0
AT,"Biogasification of paper, incl. land application",0.0,0.0,0.0
AT,"Biogasification of sewage slugde, incl. land application",0.0,0.0,0.0
AT,"Composting of food waste, incl. land application",0.0,0.0,0.0
AT,"Composting of paper and wood, incl. land application",0.0,0.0,0.0
AT,"Waste water treatment, food",0.0,0.0,0.0
AT,"Waste water treatment, other",0.0,0.0,0.0
AT,Landfill of waste: Food,0.0,0.0,0.0
AT,Landfill of waste: Paper,0.0,0.0,0.0
AT,Landfill of waste: Plastic,0.0,0.0,0.0
AT,Landfill of waste: Inert/metal/hazardous,0.0,0.0,0.0
AT,Landfill of waste: Textiles,0.0,0.0,0.0
AT,Landfill of waste: Wood,0.0,0.0,0.0
AT,Activities of membership organisation n.e.c. (91),0.0,0.0,0.0
AT,"Recreational, cultural and sporting activities (92)",0.0,0.0,0.0
AT,Other service activities (93),0.0,0.0,0.0
AT,Private households with employed persons (95),0.0,0.0,0.0
AT,Extra-territorial organizations and bodies,0.0,0.0,0.0
BE,Cultivation of paddy rice,0.0,0.0,0.0
BE,Cultivation of wheat,0.0,0.0,0.0
BE,Cultivation of cereal grains nec,0.0,0.0,0.0
BE,"Cultivation of vegetables, fruit, nuts",0.0,0.0,0.0
BE,Cultivation of oil seeds,0.0,0.0,0.0
BE,"Cultivation of sugar cane, sugar beet",0.0,0.0,0.0
BE,Cultivation of plant-based fibers,0.0,0.0,0.0
BE,Cultivation of crops nec,0.0,0.0,0.0
BE,Cattle farming,0.0,0.0,0.0
BE,Pigs farming,0.0,0.0,0.0
