,popgrowth,orgimpact,difference_pop
AU,3.6544617434176835e-16,3.6560594238756082e-16,-1.5976804579252006e-19
AT,6.860440791562063e-17,6.870965256864549e-17,-1.0524465302486717e-19
BE,1.0905978965803962e-16,1.0941034237301452e-16,-3.5055271497488024e-19
BR,4.619156931565554e-16,4.620236584601929e-16,-1.0796530363756417e-19
BG,3.8036996282683114e-17,3.8062806576057976e-17,-2.58102933748588e-20
CA,4.127606625245003e-16,4.1288868117845947e-16,-1.280186539592147e-19
CN,7.797919180674386e-15,7.799342445504595e-15,-1.4232648302087784e-18
CY,1.2543983772300796e-17,1.255137300781664e-17,-7.389235515842215e-21
CZ,8.51955055022735e-17,8.528116735364237e-17,-8.566185136885941e-20
DK,6.243388915061262e-17,6.251565306736393e-17,-8.176391675130279e-20
EE,1.9290059131844972e-17,1.9299982893009576e-17,-9.923761164601892e-21
FI,6.841118995187218e-17,6.848113069316263e-17,-6.994074129045009e-20
FR,3.3406646216746675e-16,3.346534990227514e-16,-5.870368552846312e-19
DE,8.308230664169086e-16,8.320684962580009e-16,-1.245429841092348e-18
GR,1.4524466471630047e-16,1.453541427224624e-16,-1.0947800616195797e-19
HU,4.836535012651669e-17,4.842156656771093e-17,-5.621644119425118e-20
HR,2.47071492651896e-17,2.4725086282804858e-17,-1.7937017615258693e-20
IN,1.8518477707068236e-15,1.8521999060606105e-15,-3.521353537869453e-19
ID,3.9888842332672307e-16,3.9895784507338504e-16,-6.942174666196107e-20
IE,5.751579979934279e-17,5.759607843509266e-17,-8.027863574986903e-20
IT,4.055748137795866e-16,4.060293994405707e-16,-4.545856609840989e-19
JP,1.3093103687478317e-15,1.309541130360385e-15,-2.307616125531197e-19
LV,1.7037774321450105e-17,1.705282110684178e-17,-1.504678539167717e-20
LT,2.3216756986087457e-17,2.3243983278982238e-17,-2.7226292894780636e-20
LU,1.1899073582534111e-17,1.1933122730881707e-17,-3.4049148347595706e-20
MT,5.466655307932237e-18,5.471703838884522e-18,-5.048530952284113e-21
MX,3.3305651963380206e-16,3.3314571879080574e-16,-8.919915700364114e-20
NL,1.7280372282308413e-16,1.497437354111435e-16,2.305998741194064e-17
NO,7.36268559259808e-17,7.371827630095221e-17,-9.142037497140468e-20
PL,2.2425071146305054e-16,2.24468823317168e-16,-2.181118541175425e-19
PT,6.061261696402385e-17,6.067919781617995e-17,-6.658085215610266e-20
RO,8.763685782041646e-17,8.770227686362072e-17,-6.541904320426284e-20
RU,1.2506329913094022e-15,1.2509422662691965e-15,-3.092749597945214e-19
SK,8.952155051585008e-17,8.957050757081862e-17,-4.89570549685359e-20
SI,2.1197598483875156e-17,2.1222342444286156e-17,-2.474396041099727e-20
ZA,2.2383310395899747e-16,2.238968170135937e-16,-6.371305459627509e-20
KR,5.590856665926378e-16,5.59246987922869e-16,-1.6132133023118971e-19
ES,2.418187564023352e-16,2.4205844842119653e-16,-2.396920188612938e-19
SE,7.639566005408748e-17,7.65610467109712e-17,-1.653866568837017e-19
CH,9.140270843292442e-17,9.157422427540397e-17,-1.715158424795568e-19
TR,3.889952466192311e-16,3.891248589537952e-16,-1.2961233456408977e-19
GB,4.2455799456970873e-16,4.2525059131397164e-16,-6.925967442629337e-19
US,4.605986393903709e-15,4.607072861958119e-15,-1.086468054409027e-18
WA,1.6852774223354404e-15,1.6858975359910228e-15,-6.201136555826664e-19
WL,7.004948151820846e-16,7.008759687440496e-16,-3.811535619649888e-19
WE,3.833427185700686e-16,3.8347874730892315e-16,-1.360287388545871e-19
WF,5.168374124823397e-16,5.171610976465864e-16,-3.236851642467379e-19
WM,1.6555644919528794e-15,1.6562059511537312e-15,-6.414592008519173e-19
