region,popgrowth,orgimpact,difference_pop
AT,70.79244951014137,70.8690201096051,-0.0765705994637392
BE,108.39774937404628,108.74988697512029,-0.35213760107400593
BG,34.63151292500509,34.645439747497946,-0.013926822492860083
CY,11.765824990508216,11.770287664364988,-0.004462673856771289
CZ,98.61317061056165,98.65851589170322,-0.045345281141577286
DE,762.8292541634213,763.8674171379447,-1.0381629745233805
DK,62.78211886728358,62.86207451425162,-0.07995564696803922
EE,14.172505126217734,14.181756758186951,-0.00925163196921676
ES,262.07711534726855,262.280957471533,-0.20384212426445447
FI,67.78097273177706,67.83800259759619,-0.05702986581913137
FR,382.86587337605863,383.3849467804566,-0.5190734043979319
GR,150.65347398370577,150.71250175705404,-0.059027773348265325
HR,16.64392146408379,16.65357274939859,-0.009651285314801498
HU,43.47541580035084,43.50405343495994,-0.02863763460910559
IE,43.150280862789415,43.21566814561807,-0.06538728282865486
IT,446.57974973732865,446.89561431996793,-0.3158645826392458
LT,15.364367339969384,15.381511347989493,-0.01714400802011005
LU,7.730288785660823,7.746585944761788,-0.016297159100965474
LV,12.046049365559785,12.057845412982854,-0.011796047423067647
MT,4.197758343323019,4.200974298951048,-0.0032159556280294053
NL,181.2676526951091,160.21755750189695,21.050095193212123
PL,256.63318329267275,256.7567580587844,-0.12357476611167659
PT,46.66995735623165,46.711683321627085,-0.04172596539543156
RO,73.50518210793659,73.53482840843881,-0.029646300502223312
SE,65.47481888577165,65.59410702897513,-0.11928814320348465
SI,15.40015611147204,15.410038757234982,-0.009882645762943867
SK,39.09597365248269,39.11450992355273,-0.018536271070042857
GB,494.6957970737326,495.29120686414063,-0.5954097904080409
US,4456.179592983646,4457.217381085137,-1.037788101490587
JP,1155.2852390941312,1155.5138497343912,-0.2286106402601581
CN,6650.999954067037,6651.831967512467,-0.8320134454304352
CA,419.2715345709635,419.40139890604075,-0.1298643350772327
KR,520.2935561849332,520.4338734311893,-0.14031724625616335
BR,390.0844208237549,390.19865312790563,-0.11423230415070429
IN,1429.419803729039,1429.717827029323,-0.2980233002840541
MX,368.06173886003256,368.1374172173064,-0.07567835727380588
RU,960.8265369218846,961.0720509244169,-0.24551400253234898
AU,412.47481001600715,412.59901922337224,-0.1242092073650565
CH,84.74771750313367,84.88591558570799,-0.13819808257432306
TR,300.9992551455382,301.1049469759753,-0.10569183043710655
TW,153.3884312149444,153.44662846720857,-0.05819725226415903
NO,68.96823014753366,69.05047557593937,-0.08224542840571666
ID,349.2870828638314,349.3578038243109,-0.07072096047946252
ZA,223.35310521425433,223.42339242717193,-0.07028721291761031
WA,1492.19974123267,1492.9976515434305,-0.797910310760606
WL,670.7470287603041,671.021670508389,-0.27464174808491953
WE,371.4823307809477,371.6279371179034,-0.1456063369556796
WF,500.2170301643006,500.5678839747019,-0.35085381040128416
WM,1324.4001928792018,1324.9412108816193,-0.5410180024174042
