,popgrowth,orgimpact,difference_pop
AU,1.3982572220086269e-05,1.3990870852431588e-05,-8.298632345318794e-09
AT,2.3994192026996495e-06,2.4067816913609226e-06,-7.362488661273383e-09
BE,8.679519314035777e-06,8.727771149166553e-06,-4.8251835130777206e-08
BR,3.811011856967643e-05,3.811653900346342e-05,-6.420433786995709e-09
BG,8.871763733233004e-07,8.889130287451789e-07,-1.736655421878444e-09
CA,9.187216944875435e-06,9.19334199173577e-06,-6.125046860333532e-09
CN,0.0004603196377488372,0.0004604182690997912,-9.863135095399618e-08
CY,2.238185918886486e-07,2.2415197696316378e-07,-3.333850745151576e-10
CZ,1.8570139484905438e-06,1.8630271591870566e-06,-6.013210696512601e-09
DK,2.0041291129527928e-06,2.0115959901244423e-06,-7.466877171649364e-09
EE,1.4056149655116464e-07,1.410736567697135e-07,-5.121602185488447e-10
FI,1.7263138223984022e-06,1.732275287051487e-06,-5.961464653084754e-09
FR,1.4268310238628057e-05,1.4313269914686374e-05,-4.4959676058316607e-08
DE,5.3936125682051795e-05,5.404846241449396e-05,-1.1233673244217038e-07
GR,5.207258858493376e-06,5.212287999917658e-06,-5.029141424281522e-09
HU,2.185788512010739e-06,2.190322486302176e-06,-4.533974291437305e-09
HR,1.3389722111510557e-06,1.339950303048657e-06,-9.780918976012617e-10
IN,0.0001046654653069211,0.00010469439627023723,-2.893096331612766e-08
ID,1.614578019229418e-05,1.6148935907139746e-05,-3.155714845566079e-09
IE,1.578032299578008e-06,1.5822393420681405e-06,-4.207042490132386e-09
IT,1.8705369732144662e-05,1.8741703095681792e-05,-3.633336353713274e-08
JP,3.690722936649754e-05,3.6919799512970846e-05,-1.2570146473310888e-08
LV,4.167612022962639e-07,4.175746143327613e-07,-8.134120364973787e-10
LT,9.814843476813437e-07,9.829402077382222e-07,-1.4558600568786495e-09
LU,4.7423728642135934e-07,4.771126189914351e-07,-2.8753325700758143e-09
MT,1.555468946221717e-07,1.5584401559704642e-07,-2.9712097487470603e-10
MX,7.920167497289773e-06,7.92496201113437e-06,-4.794513844597154e-09
NL,7.110782465817464e-06,6.246895015405366e-06,8.638874504120984e-07
NO,3.418343210231743e-06,3.4274287935864375e-06,-9.08558335469477e-09
PL,1.9623766206428645e-06,1.9751818169839578e-06,-1.2805196341093164e-08
PT,2.4362325272009103e-06,2.4425886411694556e-06,-6.3561139685451055e-09
RO,4.462010962319653e-06,4.467359072306512e-06,-5.348109986859374e-09
RU,3.1347035594364014e-05,3.136410615198642e-05,-1.7070557622406634e-08
SK,3.3616012244682236e-06,3.364983643644685e-06,-3.382419176461175e-09
SI,1.0683083113278528e-06,1.0699693230638935e-06,-1.6610117360407022e-09
ZA,2.475230614656971e-05,2.4754701033930718e-05,-2.394887361008674e-09
KR,2.0051431097489386e-05,2.0063518346908786e-05,-1.2087249419398606e-08
ES,7.3454519222819875e-06,7.364331653106924e-06,-1.887973082493711e-08
SE,1.638817233322498e-05,1.6403856926119363e-05,-1.5684592894384637e-08
CH,4.66577315554158e-06,4.6863344512940645e-06,-2.0561295752485283e-08
TR,3.0620475997217534e-05,3.062922442949025e-05,-8.748432272717355e-09
GB,1.089812685399705e-05,1.0957413922265302e-05,-5.928706826825254e-08
US,7.887291550526025e-05,7.894794514273144e-05,-7.502963747118412e-08
WA,5.936055625545023e-05,5.939912289659029e-05,-3.856664114005864e-08
WL,4.081020154047005e-05,4.083448797326413e-05,-2.4286432794079186e-08
WE,4.70278545664076e-05,4.703690768903585e-05,-9.053122628241777e-09
WF,3.308454767361239e-05,3.310136893431544e-05,-1.6821260703045875e-08
WM,6.3651324763206e-05,6.369831716713576e-05,-4.6992403929769995e-08
